Name,Gene_Symbol,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000344887.10,TNNI3,"troponin I3, cardiac type",659.6489074787216,1.603517473262947,0.2138569355837372,7.498084964539663,6.475692273092107e-14,1.3952819022223038e-10
ENST00000568470.6,CES2,carboxylesterase 2,1309.7238213806938,-0.4248129966341576,0.0576868611093682,-7.364120502739034,1.783185643013822e-13,3.7220656824832875e-10
ENST00000491504.5,TNNT2,"troponin T2, cardiac type",5151.165996218574,-1.1013577899979503,0.1508046997421699,-7.303206013346643,2.809904387554663e-13,5.362421533209318e-10
ENST00000379802.8,DSP,desmoplakin,2004.148442592159,0.7671417751048123,0.1049473602817043,7.309776758992471,2.675865733395513e-13,5.362421533209318e-10
ENST00000476464.5,PSMD6,"proteasome 26S subunit, non-ATPase 6",15.900616767273304,-3.097300233646845,0.4239242715204747,-7.306258314811426,2.7468388116982135e-13,5.362421533209318e-10
ENST00000581697.5,DDX5,DEAD-box helicase 5,92.62749014577822,10.317249944477282,1.4203494730033013,7.263881277515215,3.7613817482798107e-13,6.978825902627824e-10
ENST00000332395.7,DDX28,DEAD-box helicase 28,567.6959134937973,-0.5159726031446764,0.071188673002214,-7.247959280384804,4.2309775932669253e-13,7.637943712558674e-10
ENST00000367590.9,XPR1,xenotropic and polytropic retrovirus receptor 1,766.4774977561638,0.5862215863551186,0.0810493119764988,7.232900219129558,4.727867811067276e-13,8.310347436116516e-10
ENST00000225927.7,NAGLU,N-acetyl-alpha-glucosaminidase,418.7156925822587,-1.128475298462795,0.1572768882799801,-7.175086630998911,7.226141373147019e-13,1.2375971458409796e-09
ENST00000308942.4,SIPA1L2,signal induced proliferation associated 1 like 2,71.83726363626377,-9.328538933627025,1.333424583562698,-6.995925415371191,2.6351370231789497e-12,4.400283558155369e-09
ENST00000333896.5,SPTBN1,"spectrin beta, non-erythrocytic 1",649.3015336576233,1.380179148382786,0.1975889965835766,6.985101256886005,2.8465060629389598e-12,4.616081272943166e-09
ENST00000470929.5,MYH7B,myosin heavy chain 7B,373.23590263916,-1.200569640043284,0.1719432045208975,-6.982361666391822,2.9025872602870464e-12,4.616081272943166e-09
ENST00000319211.5,F2R,coagulation factor II thrombin receptor,224.2239264363232,-0.6703426578634348,0.0963392233221344,-6.958148869666255,3.4477279241360207e-12,5.3555241619707285e-09
ENST00000333677.7,ARHGEF37,Rho guanine nucleotide exchange factor 37,173.36389242489645,1.5644739258624871,0.2253993296874631,6.940898750816047,3.896131886389581e-12,5.914505300443311e-09
ENST00000558029.6,MFGE8,milk fat globule EGF and factor V/VIII domain containing,206.46940767654124,1.516927308007267,0.219912104122826,6.897880014644523,5.278429803253976e-12,7.834832006189913e-09
ENST00000337576.7,LZTS3,leucine zipper tumor suppressor family member 3,235.91176217336533,0.6243878181519668,0.0916077342153561,6.815885399851978,9.36849576759703e-12,1.3603463180453826e-08
ENST00000647435.1,TPM2,tropomyosin 2,5144.693589250217,-1.127033179244385,0.1657718462061417,-6.79870077481606,1.0556681796992413e-11,1.5002617105283213e-08
ENST00000324379.10,PPIE,peptidylprolyl isomerase E,119.5568767322202,0.8218157747402327,0.122084446301935,6.731535421864849,1.6788194991285707e-11,2.3361472838498698e-08
ENST00000358321.4,SUSD2,sushi domain containing 2,347.79630204109486,1.8677364499309492,0.2783338763153987,6.710417268124747,1.9406865276595203e-11,2.6454329781324488e-08
ENST00000460780.5,TNNT2,"troponin T2, cardiac type",547.3022443661711,-0.8206982788054711,0.1223828259829972,-6.705992219198237,2.000423818489221e-11,2.6723261706433814e-08
ENST00000510099.5,PDLIM5,PDZ and LIM domain 5,137.12291566975838,-1.8103976261342296,0.2709311780917107,-6.682131007902703,2.354923514700272e-11,3.0842110047233324e-08
ENST00000633719.1,WASH5P,"WASP family homolog 5, pseudogene",291.68692298768207,-0.9218998741330622,0.1388879705785637,-6.637722981282801,3.1856583592138985e-11,4.0919781624102536e-08
ENST00000438964.6,ACTN1,actinin alpha 1,4382.445151228265,-0.645259847436725,0.0973289472428668,-6.629680744687351,3.36413675976338e-11,4.1611879765117635e-08
ENST00000330794.9,STING1,stimulator of interferon response cGAMP interactor 1,595.4156177715391,1.124804001135412,0.1696093336489242,6.631734097037684,3.3176584606327927e-11,4.1611879765117635e-08
ENST00000511659.2,ZNF827,zinc finger protein 827,38.1359302676016,-8.414520255009787,1.2704279617108087,-6.623374570312873,3.5108985190961983e-11,4.263762830627481e-08
ENST00000335125.11,DHRS4L2,dehydrogenase/reductase 4 like 2,39.75691677942688,-8.46829762096169,1.2802721798211103,-6.614451016302601,3.729331167465026e-11,4.4481597499939096e-08
ENST00000471357.1,LINC00880,long intergenic non-protein coding RNA 880,79.99947509223958,2.418719874087244,0.3668637804452354,6.5929644816717055,4.3112974900716256e-11,5.052084290383231e-08
ENST00000012443.9,PPP5C,protein phosphatase 5 catalytic subunit,2131.4175858689205,0.2577023592752345,0.0391172151981723,6.587952592475835,4.4593297388399614e-11,5.135456389242697e-08
ENST00000489171.5,RASSF4,Ras association domain family member 4,426.06102471811073,-0.701737257396695,0.1070481940030541,-6.555339526575048,5.5515419780257065e-11,6.284910082716088e-08
ENST00000405068.3,EXOC7,exocyst complex component 7,296.670421173332,-0.7243990249147975,0.1109119421376638,-6.531298712772279,6.520180814929929e-11,7.255136878198461e-08
ENST00000533783.2,CSRP3,cysteine and glycine rich protein 3,1890.594089034718,1.0604949695776986,0.1624310755392856,6.528892122746594,6.625794975149057e-11,7.255136878198461e-08
ENST00000227507.3,CCND1,cyclin D1,707.1191237854237,1.2710648542091938,0.1957015326450161,6.494915175318447,8.308020821600169e-11,8.950418431580028e-08
ENST00000621341.1,SLC35F1,solute carrier family 35 member F1,135.9769769984522,0.8345774034395715,0.128811860603764,6.479041600111663,9.2307053760191e-11,9.786598966441584e-08
ENST00000216133.10,CBX7,chromobox 7,146.31127102718253,1.2138804963981134,0.1880891643097225,6.453750277709997,1.0911556079170439e-10,1.1387913699251725e-07
ENST00000503459.1,TNNT2,"troponin T2, cardiac type",355.65497569449195,-1.290573379558427,0.2005886236159966,-6.433931078908436,1.2434525932846019e-10,1.2777718848592566e-07
ENST00000435494.2,STRIP2,striatin interacting protein 2,471.0045520283889,-1.0584388711636117,0.1652032719582572,-6.406888063518822,1.485197747681991e-10,1.503065126646529e-07
ENST00000294241.10,DCP1A,decapping mRNA 1A,759.7219936757583,-0.4905012001331167,0.076645681676555,-6.399593420057671,1.557912375545899e-10,1.5531223763016834e-07
ENST00000470257.1,TTN,titin,5382.668501764219,-0.3643552449674269,0.0569870230868172,-6.393652892033817,1.6196888359751068e-10,1.5679057407263957e-07
ENST00000295902.11,PRICKLE2,prickle planar cell polarity protein 2,242.36077997019189,0.9789288901802692,0.1530886635951808,6.394522410678917,1.6104992867442896e-10,1.5679057407263957e-07
ENST00000462494.5,ACTB,actin beta,2031.824361860548,-0.8253337978585655,0.1291574574024007,-6.390136616635072,1.6573761348931244e-10,1.5814683079150193e-07
ENST00000467534.6,CORO6,coronin 6,228.52905381338124,-1.2543112906046467,0.1971847628178014,-6.361096428954957,2.0031862977111624e-10,1.884518669990414e-07
ENST00000532642.5,ATP6V0B,ATPase H+ transporting V0 subunit b,208.1651945586713,-0.8823016866157294,0.1388680870588882,-6.353523731061276,2.104377055322467e-10,1.952218903239012e-07
