Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000581697.5,92.62749014577822,10.317249944477282,1.4203494730033013,7.263881277515215,3.7613817482798107e-13,6.978825902627825e-10
ENST00000332395.7,567.6959134937973,-0.5159726031446764,0.07118867300221404,-7.247959280384804,4.230977593266925e-13,7.637943712558675e-10
ENST00000367590.9,766.4774977561638,0.5862215863551186,0.08104931197649887,7.232900219129558,4.727867811067276e-13,8.310347436116517e-10
ENST00000225927.7,418.7156925822587,-1.128475298462795,0.15727688827998015,-7.175086630998911,7.226141373147019e-13,1.2375971458409796e-09
ENST00000308942.4,71.83726363626377,-9.328538933627025,1.3334245835626979,-6.9959254153711905,2.6351370231789497e-12,4.400283558155369e-09
ENST00000333896.5,649.3015336576233,1.380179148382786,0.19758899658357668,6.985101256886005,2.84650606293896e-12,4.616081272943166e-09
ENST00000470929.5,373.23590263916003,-1.2005696400432841,0.17194320452089756,-6.982361666391822,2.9025872602870464e-12,4.616081272943166e-09
ENST00000319211.5,224.22392643632318,-0.6703426578634348,0.09633922332213447,-6.958148869666255,3.4477279241360203e-12,5.3555241619707285e-09
ENST00000333677.7,173.36389242489645,1.5644739258624873,0.22539932968746318,6.9408987508160465,3.8961318863895805e-12,5.91450530044331e-09
ENST00000558029.6,206.46940767654124,1.516927308007267,0.219912104122826,6.897880014644523,5.278429803253976e-12,7.834832006189913e-09
ENST00000337576.7,235.91176217336533,0.6243878181519668,0.09160773421535619,6.815885399851978,9.36849576759703e-12,1.3603463180453826e-08
ENST00000647435.1,5144.693589250217,-1.127033179244385,0.16577184620614177,-6.79870077481606,1.0556681796992411e-11,1.5002617105283213e-08
ENST00000324379.10,119.5568767322202,0.8218157747402327,0.12208444630193503,6.731535421864849,1.6788194991285707e-11,2.3361472838498698e-08
ENST00000358321.4,347.79630204109486,1.8677364499309494,0.27833387631539874,6.710417268124747,1.9406865276595203e-11,2.6454329781324488e-08
ENST00000460780.5,547.3022443661711,-0.8206982788054711,0.12238282598299721,-6.705992219198237,2.0004238184892214e-11,2.6723261706433814e-08
ENST00000510099.5,137.12291566975838,-1.8103976261342298,0.27093117809171074,-6.6821310079027025,2.354923514700272e-11,3.0842110047233324e-08
ENST00000633719.1,291.68692298768207,-0.9218998741330622,0.13888797057856375,-6.637722981282801,3.1856583592138985e-11,4.091978162410253e-08
ENST00000438964.6,4382.445151228265,-0.645259847436725,0.0973289472428668,-6.629680744687351,3.36413675976338e-11,4.161187976511763e-08
ENST00000330794.9,595.4156177715391,1.124804001135412,0.16960933364892425,6.631734097037684,3.317658460632793e-11,4.161187976511763e-08
ENST00000511659.2,38.1359302676016,-8.414520255009787,1.2704279617108087,-6.623374570312873,3.5108985190961983e-11,4.2637628306274813e-08
ENST00000335125.11,39.75691677942688,-8.46829762096169,1.2802721798211105,-6.614451016302601,3.729331167465026e-11,4.4481597499939096e-08
ENST00000471357.1,79.99947509223958,2.4187198740872438,0.3668637804452354,6.5929644816717055,4.3112974900716256e-11,5.052084290383231e-08
ENST00000012443.9,2131.4175858689205,0.2577023592752345,0.03911721519817232,6.587952592475835,4.4593297388399614e-11,5.135456389242696e-08
ENST00000489171.5,426.06102471811073,-0.701737257396695,0.10704819400305417,-6.555339526575048,5.551541978025707e-11,6.284910082716087e-08
ENST00000405068.3,296.670421173332,-0.7243990249147975,0.11091194213766387,-6.531298712772279,6.520180814929929e-11,7.255136878198461e-08
ENST00000533783.2,1890.594089034718,1.0604949695776986,0.1624310755392856,6.528892122746594,6.625794975149057e-11,7.255136878198461e-08
ENST00000227507.3,707.1191237854237,1.2710648542091938,0.19570153264501616,6.494915175318447,8.308020821600169e-11,8.950418431580027e-08
ENST00000621341.1,135.9769769984522,0.8345774034395715,0.128811860603764,6.479041600111663,9.2307053760191e-11,9.786598966441583e-08
ENST00000216133.10,146.31127102718253,1.2138804963981134,0.18808916430972258,6.453750277709997,1.091155607917044e-10,1.1387913699251725e-07
ENST00000503459.1,355.65497569449195,-1.2905733795584273,0.20058862361599664,-6.433931078908436,1.2434525932846019e-10,1.2777718848592566e-07
ENST00000435494.2,471.0045520283889,-1.0584388711636117,0.1652032719582572,-6.406888063518822,1.4851977476819913e-10,1.503065126646529e-07
ENST00000294241.10,759.7219936757583,-0.4905012001331167,0.07664568167655508,-6.399593420057671,1.5579123755458993e-10,1.5531223763016834e-07
ENST00000470257.1,5382.668501764219,-0.3643552449674269,0.05698702308681724,-6.393652892033817,1.619688835975107e-10,1.5679057407263957e-07
ENST00000295902.11,242.36077997019189,0.9789288901802693,0.1530886635951808,6.394522410678917,1.6104992867442896e-10,1.5679057407263957e-07
ENST00000462494.5,2031.8243618605482,-0.8253337978585655,0.12915745740240073,-6.390136616635072,1.6573761348931244e-10,1.5814683079150193e-07
ENST00000467534.6,228.52905381338124,-1.2543112906046467,0.19718476281780142,-6.361096428954957,2.0031862977111624e-10,1.884518669990414e-07
