Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein digestion and absorption,-0.39493265332581423,-1.330077938289883,8.278146e-02,5.147557e-01,1.000000e+00,12/53,11.45%,COL4A4;COL27A1;ACE2;SLC16A10;COL26A1;COL6A3;SLC1A1;COL1A1;COL4A3;COL3A1;PRCP;SLC36A3
prerank,Glucagon signaling pathway,0.34636223851563425,1.3276898187921131,6.703911e-02,5.546861e-01,9.990000e-01,17/81,14.32%,PRKAA2;SLC2A1;PPP3R1;SIK1;LDHA;PHKA2;GYS1;PYGM;CREB3L2;PKM;PLCB2;CAMK2A;PHKG1;ITPR1;PRKAB1;PRKAB2;SIRT1
prerank,MAPK signaling pathway,0.2915445458001799,1.3271181450769802,6.079027e-03,5.352925e-01,9.990000e-01,45/233,13.82%,IGF2;DUSP5;JUN;PDGFD;FGF16;DUSP7;DUSP4;PPP3R1;HSPA1L;DUSP2;CACNB1;NR4A1;NRAS;TAB1;PDGFB;SRF;MAPK13;EFNA5;EFNA3;MAPKAPK2;STMN1;ELK4;FLNC;RASA2;MKNK2;TGFB2;DUSP10;INSR;FGF1;ARRB2;MAPK3;PPP5C;FGF9;DUSP6;DUSP16;TAOK1;CDC42;FGF7;MAPK8IP3;CRKL;PAK2;FGF10;MAPK8IP1;CACNA2D3;VEGFB
prerank,B cell receptor signaling pathway,0.3612906360361318,1.3266502603568358,8.510638e-02,5.169617e-01,9.990000e-01,8/58,9.79%,JUN;PPP3R1;INPP5D;NRAS;NFATC2;MAPK3;DAPP1;PIK3CB
prerank,Primary immunodeficiency,0.5073712577624321,1.3234858864970758,1.244131e-01,5.093100e-01,9.990000e-01,3/14,7.80%,RFXAP;JAK3;RAG1
prerank,Fatty acid elongation,-0.4709325283279524,-1.32286814439691,1.060870e-01,5.149721e-01,1.000000e+00,9/23,26.58%,ACOT7;HACD2;ELOVL5;ELOVL4;ACOT1;TECR;HACD3;ECHS1;ACOT2
prerank,ECM-receptor interaction,-0.3769516026802947,-1.3194147715800957,7.413509e-02,5.053093e-01,1.000000e+00,22/66,19.60%,ITGA11;COL4A4;THBS1;LAMC2;COL6A3;LAMA1;VTN;NPNT;COL1A1;COL4A3;TNC;ITGB5;ITGB3;LAMA5;FRAS1;RELN;ITGA5;COL4A5;SPP1;LAMB4;LAMB2;AGRN
prerank,HIF-1 signaling pathway,0.3358879681457773,1.3157733158309055,5.405405e-02,5.152091e-01,1.000000e+00,28/86,19.07%,EGLN3;PGK1;SLC2A1;ENO1;PDK1;LDHA;RBX1;HK2;EGLN1;ENO2;ELOB;MKNK2;NOS3;INSR;MAPK3;IFNGR2;PIK3CB;CDKN1B;CAMK2A;GAPDH;ALDOA;PFKFB3;ANGPT1;TF;PFKL;VEGFA;PLCG1;ERBB2
prerank,AGE-RAGE signaling pathway in diabetic complications,0.3337557423172439,1.3141376775957696,5.691057e-02,5.031287e-01,1.000000e+00,19/88,11.19%,THBD;JUN;EGR1;CCND1;PRKCE;NRAS;MAPK13;ICAM1;TGFB2;NOS3;PIM1;MAPK3;COL4A2;NOX1;PIK3CB;CDKN1B;PLCB2;COL1A2;CDC42
prerank,Apelin signaling pathway,0.321716074659352,1.3131487017173902,5.278592e-02,4.890843e-01,1.000000e+00,17/109,10.77%,PRKAA2;ADCY9;MYL2;EGR1;CCND1;GNG3;GNG7;PRKCE;NRAS;APLN;RYR2;NOS3;MAPK3;PIK3R4;HDAC5;PLCB2;ADCY10
prerank,MicroRNAs in cancer,0.31183182805439635,1.312796033656929,3.089888e-02,4.747463e-01,1.000000e+00,27/142,11.79%,MARCKS;CCND1;SOCS1;E2F2;ABCC1;CD44;PRKCE;NRAS;PDGFB;EFNA5;ABL1;EFNA3;IRS1;FZD3;STMN1;CDC25C;TGFB2;PIM1;MAPK3;PIK3CB;CDKN1B;CDCA5;HDAC5;SOX4;NOTCH2;PLAU;MCL1
prerank,Leishmaniasis,0.3979825879392958,1.3106237009900241,1.009852e-01,4.663882e-01,1.000000e+00,7/37,9.14%,JUN;TAB1;MAPK13;TGFB2;MARCKSL1;MAPK3;IFNGR2
prerank,Vitamin digestion and absorption,0.47057431790206733,1.3024107832418597,1.464531e-01,4.757347e-01,1.000000e+00,4/16,7.41%,ABCC1;CUBN;MMACHC;APOA1
prerank,Chemical carcinogenesis,0.30489106472405736,1.2984171397424011,3.592814e-02,4.727682e-01,1.000000e+00,28/145,11.58%,ADCY9;JUN;ADRB1;FGF16;CCND1;ADRB2;RXRG;NRAS;PAQR7;KPNA6;IKBKE;GSTT2;GSTM3;ADRB3;BIRC5;EPHX3;CREB3L2;ARRB2;MAPK3;FGF9;MGST3;PIK3CB;KPNA3;EPHX4;FGF7;NOTCH2;RB1;KPNA4
prerank,Allograft rejection,-0.5847441547850891,-1.2974700093321994,1.657754e-01,5.614215e-01,1.000000e+00,6/9,27.50%,HLA-E;HLA-A;HLA-C;HLA-G;HLA-DMA;HLA-F
prerank,Graft-versus-host disease,-0.5662279339603087,-1.29129132893198,1.624549e-01,5.611365e-01,1.000000e+00,6/10,27.50%,HLA-E;HLA-A;HLA-C;HLA-G;HLA-DMA;HLA-F
prerank,"Growth hormone synthesis, secretion and action",0.3233248275291067,1.2906958376627307,7.068063e-02,4.808977e-01,1.000000e+00,14/96,10.77%,SOCS3;ADCY9;SOCS1;JUNB;NRAS;SHC3;MAPK13;GHRH;IRS1;CREB3L2;MAPK3;PIK3CB;PLCB2;ADCY10
prerank,Neutrophil extracellular trap formation,-0.3451181409784117,-1.2888825337911647,7.087827e-02,5.482770e-01,1.000000e+00,30/100,16.09%,H2BC12;ACTB;H2BC5;H2AC18;H2AC13;AGER;H2BC4;MACROH2A1;H2BC21;H2AC6;H2BC18;SELPLG;H3C6;H3C10;H4C14;H4C8;H2AC7;H4C5;ACTG1;H2AC8;H2AJ;ITGB3;H2BC15;H4C12;HAT1;H2AC17;MACROH2A2;PRKCA;H2AC19;C5
prerank,Metabolism of xenobiotics by cytochrome P450,-0.4401312913780275,-1.2883420773887437,1.535836e-01,5.296880e-01,1.000000e+00,12/27,22.84%,CYP2S1;CYP1A1;MGST1;GSTT2B;CYP3A5;CYP1B1;CBR1;GSTP1;GSTO2;GSTK1;ADH5;GSTM1
prerank,Fluid shear stress and atherosclerosis,0.31477674456540583,1.283369940428209,5.027933e-02,4.881982e-01,1.000000e+00,17/109,9.79%,THBD;PRKAA2;JUN;ACVR2A;ACVR2B;SDC4;PDGFB;SUMO2;MAPK13;ICAM1;GSTT2;GSTM3;NOS3;SUMO3;MGST3;NOX1;PIK3CB
prerank,Glycosaminoglycan biosynthesis,0.35876562525677047,1.2819111596624981,1.174935e-01,4.793719e-01,1.000000e+00,11/50,10.35%,HS3ST3B1;B3GNT7;B4GALT1;HS6ST3;XYLT2;CHST14;CHST13;HS3ST3A1;GLCE;HS3ST1;CHST15
prerank,Complement and coagulation cascades,0.3981024090349782,1.2764102235724943,1.291080e-01,4.825302e-01,1.000000e+00,10/32,8.65%,THBD;A2M;F13A1;F10;C4A;C4B;F8;SERPIND1;C7;MASP1
prerank,Pancreatic secretion,0.35790498507472246,1.275882221007764,1.066998e-01,4.720165e-01,1.000000e+00,16/53,17.27%,ADCY9;ATP2A3;RAB3D;RAB27B;TRPC1;KCNQ1;RYR2;ATP2B4;CEL;PLCB2;ITPR1;ATP1B2;ATP1B4;ADCY6;SLC4A4;SLC9A1
prerank,Arachidonic acid metabolism,-0.4231726559783878,-1.2736158737703431,1.397671e-01,5.596791e-01,1.000000e+00,9/31,15.25%,PLAAT3;PLA2G3;GPX3;AKR1C3;TBXAS1;PLA2G6;ALOX12B;CBR1;PLA2G4B
prerank,Leukocyte transendothelial migration,-0.3533947515922674,-1.273470554156557,9.952607e-02,5.408545e-01,1.000000e+00,22/79,17.82%,CLDN15;F11R;CLDN3;CLDN7;ACTB;MYL7;MMP2;CLDN1;MYL5;CLDN4;CTNNA1;GNAI3;ACTN1;ACTG1;EZR;MYL12B;CLDN23;PRKCA;GNAI1;MYL12A;CD99;RAP1B
prerank,Circadian entrainment,0.33496422638537554,1.2725886709111442,7.730673e-02,4.685552e-01,1.000000e+00,24/70,22.01%,ADCY9;RASD1;GNG3;GNG7;RYR2;KCNJ5;MAPK3;PLCB2;ADCY10;CAMK2A;ITPR1;CACNA1G;GNAO1;GRIN2A;GNG10;GUCY1A2;GRIA1;ADCY6;GNB2;GRIA4;CALM3;GNB5;PLCB3;RYR3
prerank,Synthesis and degradation of ketone bodies,-0.5945381765336475,-1.2662774637898488,1.978984e-01,5.471716e-01,1.000000e+00,4/8,21.80%,ACAT2;OXCT1;BDH2;HMGCS1
prerank,TNF signaling pathway,0.32476755089760945,1.2643626805238373,6.349206e-02,4.798109e-01,1.000000e+00,11/86,9.79%,SOCS3;JUN;CX3CL1;JUNB;TAB1;MAPK13;ICAM1;CREB3L2;MAPK3;PIK3CB;IRF1
prerank,Sulfur relay system,-0.5797020178191442,-1.2623508684098468,1.945946e-01,5.431943e-01,1.000000e+00,6/8,39.23%,MOCS3;MPST;URM1;CTU2;MOCS2;NFS1
prerank,Oxytocin signaling pathway,0.3126146255546212,1.2615102184583957,6.442577e-02,4.758935e-01,1.000000e+00,26/113,16.85%,PRKAA2;ADCY9;JUN;EEF2K;CCND1;PPP3R1;CACNB1;NRAS;MYL9;RCAN1;RYR2;KCNJ5;NFATC2;NOS3;MAPK3;PLCB2;CAMK2A;ITPR1;CACNA2D3;PRKAB1;PRKAB2;GNAO1;KCNJ12;GUCY1A2;CAMK1G;ADCY6
prerank,Gastric cancer,0.3059612402782484,1.256316390520687,7.901907e-02,4.795909e-01,1.000000e+00,23/114,11.49%,WNT2;FGF16;CCND1;E2F2;LRP5;RXRG;NRAS;CTNNA2;SHC3;FZD9;FZD3;TGFB2;FGF1;MAPK3;WNT11;LRP6;FZD1;FGF9;FZD4;PIK3CB;CDKN1B;FGF7;RB1
prerank,FoxO signaling pathway,0.30373038844232175,1.2503445773686586,8.201058e-02,4.860070e-01,1.000000e+00,21/110,14.35%,PRKAA2;CCND1;PLK1;NRAS;MAPK13;CCNB2;FOXO4;IRS1;TGFB2;INSR;RAG1;BNIP3;MAPK3;PIK3CB;CDKN1B;RBL2;S1PR1;PRKAB1;PRKAB2;SIRT1;CCNB1
prerank,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.3309411728457853,1.2434037162467733,9.768638e-02,4.959986e-01,1.000000e+00,9/66,9.79%,JUN;PPP3R1;NRAS;MAPK13;ALK;NFATC2;MAPK3;IFNGR2;PIK3CB
prerank,Amphetamine addiction,0.34425822295067754,1.2422641440546873,1.464646e-01,4.890645e-01,1.000000e+00,16/51,20.21%,JUN;ARC;PPP3R1;MAOB;CREB3L2;GRIN3B;PDYN;CAMK2A;SIRT1;GRIN2A;HDAC1;GRIA1;PPP1R1B;PPP1CB;GRIA4;CALM3
prerank,Cortisol synthesis and secretion,-0.3750787079160791,-1.2399189266045303,1.495798e-01,6.039296e-01,1.000000e+00,7/46,3.34%,KCNK3;CREB3;GNA11;HSD3B2;CREB3L1;ITPR2;CYP11A1
prerank,Pyruvate metabolism,-0.3967952922676913,-1.2396791126876157,1.768707e-01,5.864192e-01,1.000000e+00,12/33,25.26%,ACAT2;ME1;AKR1A1;ALDH9A1;LDHD;PDHB;MDH2;GRHPR;ALDH2;ADH5;HAGH;ALDH1B1
prerank,Terpenoid backbone biosynthesis,-0.45713468865179896,-1.2396308762731554,1.864111e-01,5.693847e-01,1.000000e+00,10/20,24.67%,ACAT2;IDI1;PDSS2;MVD;FDPS;MVK;RCE1;HMGCR;HMGCS1;PCYOX1
prerank,Vascular smooth muscle contraction,-0.33714471392099865,-1.2356562497202308,1.125828e-01,5.653100e-01,1.000000e+00,20/90,16.23%,NPPB;EDN1;PLA2G3;PPP1R14A;GNA11;ITPR2;CALD1;ACTA2;PLA2G6;GUCY1A1;NPPA;GUCY1B1;MYLK;ADRA1B;ADM;PRKCA;RAMP2;PLA2G4B;GNAQ;MYH9
